1jhd , A ,  2  , 396 ,  0.285
1c2a , A ,  2  , 120 ,  0.175
1a0p , A ,  2  , 271 ,  0.162
2hxv , A ,  2  , 349 ,  0.109
1dl5 , A ,  2  , 317 ,  0.306
1be3 , B ,  2  , 419 ,  0.158
1y7b , A ,  2  , 534 ,  0.243
1fa0 , A ,  3  , 509 ,  0.130
1k8w , A ,  2  , 310 ,  0.203
2o8r , B ,  4  , 589 ,  0.048
1ddt , A ,  3  , 523 ,  0.170
1fgs , A ,  2  , 393 ,  0.160
1pcp , A ,  2  , 106 ,  0.142
1j1z , B ,  2  , 386 ,  0.285
1abw , A ,  2  , 285 ,  0.070
1acm , A ,  2  , 310 ,  0.232
1dw9 , A ,  2  , 152 ,  0.059
1sox , A ,  3  , 463 ,  0.326
1hn0 , A ,  4  , 971 ,  0.076
1hd8 , A ,  2  , 337 ,  0.116
1f02 , I ,  3  , 282 ,  0.113
1a6e , A ,  3  , 503 ,  0.129
1a1f , A ,  3  , 84 ,  0.262
1bcc , D ,  2  , 241 ,  0.046
1ttu , A ,  3  , 435 ,  0.120
1nij , A ,  2  , 317 ,  0.271
1h8e , D ,  3  , 467 ,  0.186
1fcd , A ,  3  , 401 ,  0.162
1nxz , A ,  2  , 242 ,  0.169
1d5y , A ,  3  , 288 ,  0.306
1af7 , A ,  2  , 274 ,  0.153
1dd3 , A ,  2  , 128 ,  0.109
1qze , A ,  4  , 214 ,  0.000
1j5y , A ,  2  , 167 ,  0.198
1gz0 , A ,  2  , 235 ,  0.217
1e79 , F ,  3  , 466 ,  0.185
1y7e , A ,  2  , 397 ,  0.171
1ckl , A ,  2  , 126 ,  0.071
3bwg , A ,  2  , 222 ,  0.090
1ewr , A ,  3  , 440 ,  0.220
1a8y , A ,  3  , 338 ,  0.107
2hr7 , A ,  3  , 468 ,  0.058
1a45 , A ,  2  , 173 ,  0.127
1vq0 , A ,  2  , 290 ,  0.076
1cjx , A ,  2  , 352 ,  0.349
1ux6 , A ,  2  , 335 ,  0.296
1yua , A ,  2  , 122 ,  0.303
1olz , A ,  3  , 621 ,  0.205
2pv7 , A ,  2  , 270 ,  0.096
2fb1 , A ,  2  , 215 ,  0.167
1bs2 , A ,  3  , 603 ,  0.167
1nlt , A ,  3  , 228 ,  0.118
1m6b , A ,  4  , 549 ,  0.080
1q5v , A ,  2  , 115 ,  0.087
1e15 , A ,  3  , 496 ,  0.248
1bia , A ,  3  , 292 ,  0.277
1jqj , A ,  3  , 366 ,  0.145
1hc1 , A ,  3  , 634 ,  0.227
1e5u , I ,  2  , 187 ,  0.155
1akl , A ,  2  , 470 ,  0.230
1vqz , A ,  2  , 327 ,  0.239
3bzc , A ,  5  , 730 ,  0.089
1ksk , A ,  2  , 227 ,  0.057
1fwy , A ,  2  , 326 ,  0.098
1dg3 , A ,  2  , 540 ,  0.087
1dq3 , A ,  4  , 454 ,  0.198
1a79 , A ,  2  , 171 ,  0.111
1brw , A ,  3  , 433 ,  0.346
1fyb , A ,  2  , 111 ,  0.054
1b47 , A ,  3  , 304 ,  0.194
1a71 , A ,  2  , 374 ,  0.294
1ubd , C ,  4  , 114 ,  0.070
1ppr , M ,  2  , 312 ,  0.292
1skz , A ,  2  , 104 ,  0.317
1a8p , A ,  2  , 257 ,  0.292
2oux , A ,  2  , 246 ,  0.118
1nyq , A ,  4  , 642 ,  0.017
1tg7 , A ,  5  , 971 ,  0.215
1clc , A ,  2  , 541 ,  0.359
1a6a , A ,  2  , 176 ,  0.261
1pg0 , A ,  2  , 492 ,  0.217
