2prg , C , 1 , 32 ,  9 ,  0 ,  0 ,  2 ,  6
1hxs , 4 , 1 , 68 ,  23 ,  0 ,  0 ,  2 ,  7
2jx8 , A , 1 , 47 ,  8 ,  0 ,  0 ,  18 ,  31
1yo7 , A , 1 , 120 ,  58 ,  0 ,  7 ,  38 ,  101
1z2u , A , 1 , 150 ,  62 ,  0 ,  6 ,  30 ,  68
1jfb , A , 1 , 424 ,  198 ,  0 ,  1 ,  2 ,  19
1aol , A , 1 , 228 ,  112 ,  0 ,  6 ,  14 ,  48
3buu , B , 1 , 242 ,  96 ,  0 ,  7 ,  21 ,  41
2eng , A , 1 , 205 ,  105 ,  0 ,  17 ,  39 ,  78
3a1p , B , 1 , 85 ,  39 ,  0 ,  10 ,  27 ,  63
1vhh , A , 1 , 157 ,  77 ,  0 ,  20 ,  57 ,  115
1vju , B , 1 , 291 ,  157 ,  0 ,  4 ,  22 ,  43
1p9h , A , 1 , 190 ,  57 ,  0 ,  0 ,  3 ,  25
1d2v , C , 1 , 465 ,  303 ,  0 ,  0 ,  5 ,  10
2spc , A , 1 , 107 ,  30 ,  0 ,  0 ,  0 ,  2
1qoy , A , 1 , 303 ,  134 ,  0 ,  0 ,  0 ,  4
1z60 , A , 1 , 59 ,  18 ,  0 ,  14 ,  35 ,  74
1e9t , A , 1 , 59 ,  12 ,  0 ,  4 ,  20 ,  60
1irq , A , 1 , 51 ,  15 ,  0 ,  7 ,  20 ,  40
1g8t , A , 1 , 242 ,  139 ,  0 ,  12 ,  37 ,  76
1z70 , X , 1 , 276 ,  0 ,  0 ,  13 ,  39 ,  78
1jov , A , 1 , 281 ,  139 ,  0 ,  13 ,  33 ,  52
2nrl , A , 1 , 170 ,  61 ,  0 ,  10 ,  27 ,  51
2gz4 , C , 1 , 196 ,  104 ,  0 ,  16 ,  34 ,  67
1q3i , A , 1 , 192 ,  90 ,  0 ,  20 ,  41 ,  72
1t3y , A , 1 , 131 ,  48 ,  0 ,  18 ,  42 ,  65
1fvg , A , 1 , 189 ,  93 ,  0 ,  20 ,  41 ,  70
1xo7 , A , 1 , 166 ,  82 ,  0 ,  24 ,  59 ,  97
1cl8 , A , 1 , 261 ,  112 ,  0 ,  0 ,  15 ,  38
3mab , A , 1 , 90 ,  38 ,  0 ,  22 ,  56 ,  105
2w15 , A , 1 , 218 ,  98 ,  0 ,  16 ,  43 ,  78
2ofc , A , 1 , 141 ,  71 ,  0 ,  19 ,  54 ,  104
1k4i , A , 1 , 216 ,  104 ,  0 ,  18 ,  37 ,  71
1r7l , A , 1 , 103 ,  40 ,  0 ,  13 ,  42 ,  69
2aj7 , A , 1 , 161 ,  66 ,  0 ,  9 ,  20 ,  45
1ssl , A , 1 , 48 ,  14 ,  0 ,  12 ,  37 ,  69
1jid , A , 1 , 114 ,  43 ,  0 ,  16 ,  41 ,  78
1nln , A , 1 , 203 ,  113 ,  0 ,  17 ,  47 ,  77
2gmq , A , 1 , 106 ,  41 ,  0 ,  17 ,  42 ,  73
3rrl , B , 1 , 197 ,  112 ,  0 ,  4 ,  32 ,  61
1dvk , A , 1 , 149 ,  67 ,  0 ,  19 ,  38 ,  68
2jne , A , 1 , 71 ,  15 ,  0 ,  2 ,  10 ,  28
