1jhd A , 2 , 396 ,  0.194 ,  0.045
1c2a A , 2 , 120 ,  0.142 ,  0.036
1a0p A , 2 , 271 ,  0.125 ,  0.041
2hxv A , 2 , 349 ,  0.083 ,  0.036
1dl5 A , 2 , 317 ,  0.240 ,  0.043
1be3 B , 2 , 419 ,  0.112 ,  0.041
1y7b A , 2 , 534 ,  0.150 ,  0.048
1fa0 A , 3 , 509 ,  0.108 ,  0.037
1k8w A , 2 , 310 ,  0.139 ,  0.033
2o8r B , 4 , 589 ,  0.032 ,  0.033
1ddt A , 3 , 523 ,  0.103 ,  0.025
1fgs A , 2 , 393 ,  0.117 ,  0.043
1pcp A , 2 , 106 ,  0.094 ,  0.037
1j1z B , 2 , 386 ,  0.189 ,  0.035
1abw A , 2 , 285 ,  0.046 ,  0.033
1acm A , 2 , 310 ,  0.148 ,  0.051
1dw9 A , 2 , 152 ,  0.039 ,  0.029
1sox A , 3 , 463 ,  0.220 ,  0.044
1hn0 A , 4 , 971 ,  0.060 ,  0.030
1hd8 A , 2 , 337 ,  0.095 ,  0.032
1f02 I , 3 , 282 ,  0.089 ,  0.013
1a6e A , 3 , 503 ,  0.105 ,  0.027
1a1f A , 3 , 84 ,  0.202 ,  0.019
1bcc D , 2 , 241 ,  0.046 ,  0.020
1ttu A , 3 , 435 ,  0.074 ,  0.032
1nij A , 2 , 317 ,  0.215 ,  0.043
1h8e D , 3 , 467 ,  0.133 ,  0.037
1fcd A , 3 , 401 ,  0.105 ,  0.048
1nxz A , 2 , 242 ,  0.140 ,  0.036
1d5y A , 3 , 288 ,  0.247 ,  0.039
1af7 A , 2 , 274 ,  0.117 ,  0.037
1dd3 A , 2 , 128 ,  0.094 ,  0.025
1qze A , 4 , 214 ,  0.000 ,  0.006
1j5y A , 2 , 167 ,  0.138 ,  0.032
1gz0 A , 2 , 235 ,  0.145 ,  0.037
1e79 F , 3 , 466 ,  0.131 ,  0.038
1y7e A , 2 , 397 ,  0.123 ,  0.040
1ckl A , 2 , 126 ,  0.048 ,  0.018
3bwg A , 2 , 222 ,  0.072 ,  0.032
1ewr A , 3 , 440 ,  0.173 ,  0.035
1a8y A , 3 , 338 ,  0.074 ,  0.035
2hr7 A , 3 , 468 ,  0.049 ,  0.015
1a45 A , 2 , 173 ,  0.052 ,  0.045
1vq0 A , 2 , 290 ,  0.052 ,  0.040
1cjx A , 2 , 352 ,  0.239 ,  0.050
1ux6 A , 2 , 335 ,  0.206 ,  0.044
1yua A , 2 , 122 ,  0.230 ,  0.044
1olz A , 3 , 621 ,  0.163 ,  0.033
2pv7 A , 2 , 270 ,  0.081 ,  0.029
2fb1 A , 2 , 215 ,  0.121 ,  0.035
1bs2 A , 3 , 603 ,  0.095 ,  0.032
1nlt A , 3 , 228 ,  0.105 ,  0.010
1m6b A , 4 , 549 ,  0.058 ,  0.014
1q5v A , 2 , 115 ,  0.087 ,  0.022
1e15 A , 3 , 496 ,  0.188 ,  0.043
1bia A , 3 , 292 ,  0.216 ,  0.037
1jqj A , 3 , 366 ,  0.096 ,  0.027
1hc1 A , 3 , 634 ,  0.172 ,  0.046
1e5u I , 2 , 187 ,  0.107 ,  0.030
1akl A , 2 , 470 ,  0.155 ,  0.033
1vqz A , 2 , 327 ,  0.156 ,  0.043
3bzc A , 5 , 730 ,  0.067 ,  0.022
1ksk A , 2 , 227 ,  0.048 ,  0.023
1fwy A , 2 , 326 ,  0.080 ,  0.036
1dg3 A , 2 , 540 ,  0.080 ,  0.013
1dq3 A , 4 , 454 ,  0.172 ,  0.039
