1el6 , A , 3 , 208 ,  0.087
1jhd , A , 2 , 396 ,  0.240
1cip , A , 2 , 316 ,  0.044
1eg3 , A , 4 , 260 ,  0.296
1vzy , A , 2 , 290 ,  0.045
1a0p , A , 2 , 271 ,  0.125
1t7d , A , 2 , 208 ,  0.240
1jec , A , 3 , 510 ,  0.053
2wr1 , C , 2 , 485 ,  0.072
1qf8 , A , 2 , 159 ,  0.258
2hxv , A , 2 , 349 ,  0.083
1cuk , A , 3 , 190 ,  0.084
2hsi , B , 2 , 230 ,  0.222
2pw9 , C , 3 , 221 ,  0.312
2fpn , A , 2 , 198 ,  0.066
1sr8 , A , 3 , 282 ,  0.135
1dl5 , A , 2 , 317 ,  0.240
2ehz , A , 2 , 299 ,  0.254
1ef0 , B , 2 , 394 ,  0.081
2jz4 , A , 2 , 299 ,  0.007
1fa0 , A , 3 , 509 ,  0.108
1exn , A , 2 , 267 ,  0.169
1c4z , A , 3 , 350 ,  0.160
1hxp , A , 2 , 340 ,  0.247
3n81 , G , 2 , 503 ,  0.189
1u7l , A , 3 , 364 ,  0.058
1kfi , A , 4 , 570 ,  0.188
1x9p , A , 2 , 460 ,  0.061
3i33 , A , 4 , 385 ,  0.244
2ewj , A , 2 , 305 ,  0.105
2o8r , B , 4 , 589 ,  0.032
1ddt , A , 3 , 523 ,  0.119
1d2h , A , 2 , 252 ,  0.190
1gkg , A , 2 , 136 ,  0.074
1yq3 , A , 4 , 614 ,  0.218
2z1q , A , 4 , 546 ,  0.201
2idb , A , 3 , 463 ,  0.130
1np7 , B , 3 , 483 ,  0.215
1evl , A , 2 , 401 ,  0.145
3d3l , B , 2 , 447 ,  0.224
1pfx , L , 4 , 133 ,  0.098
1uzk , A , 3 , 151 ,  0.238
1dw9 , A , 2 , 152 ,  0.039
3nt1 , A , 2 , 554 ,  0.202
1r1h , A , 2 , 696 ,  0.145
1j7x , A , 2 , 298 ,  0.101
1hv9 , A , 2 , 449 ,  0.060
3ku3 , A , 2 , 321 ,  0.047
1xsz , A , 3 , 384 ,  0.133
1sox , A , 3 , 463 ,  0.220
1noy , B , 2 , 346 ,  0.191
1hn0 , A , 4 , 971 ,  0.060
2i71 , A , 2 , 366 ,  0.131
2jkb , A , 3 , 689 ,  0.170
2vsg , A , 2 , 358 ,  0.075
2uvo , A , 4 , 172 ,  0.017
2oez , A , 2 , 265 ,  0.181
1pxy , A , 4 , 465 ,  0.084
1hd8 , A , 2 , 337 ,  0.095
2fcw , B , 2 , 78 ,  0.090
1t8s , A , 2 , 439 ,  0.098
2gq1 , A , 2 , 304 ,  0.240
1zja , A , 3 , 568 ,  0.227
2dpl , A , 2 , 287 ,  0.108
3k40 , A , 3 , 447 ,  0.123
1xvi , A , 2 , 238 ,  0.197
1vlo , A , 4 , 354 ,  0.150
2pqc , A , 2 , 445 ,  0.128
1bx4 , A , 2 , 342 ,  0.281
2o36 , A , 3 , 654 ,  0.232
1jgt , A , 2 , 490 ,  0.133
2vqe , D , 2 , 208 ,  0.154
2vqe , M , 2 , 125 ,  0.080
1hdh , A , 2 , 524 ,  0.296
2he7 , A , 3 , 297 ,  0.152
1on2 , A , 2 , 135 ,  0.081
3dcl , A , 3 , 272 ,  0.368
2dsj , A , 3 , 423 ,  0.232
2pif , A , 2 , 244 ,  0.164
1oip , A , 3 , 251 ,  0.263
3bl9 , B , 3 , 289 ,  0.024
1svb , A , 4 , 395 ,  0.073
3mvq , A , 3 , 495 ,  0.048
3a21 , A , 4 , 616 ,  0.193
1vcb , C , 2 , 142 ,  0.169
1vq8 , B , 3 , 337 ,  0.053
1vq8 , P , 3 , 143 ,  0.049
1vq8 , W , 2 , 154 ,  0.221
2im9 , A , 3 , 307 ,  0.329
1qnt , A , 2 , 166 ,  0.127
1x7d , B , 2 , 331 ,  0.224
1nij , A , 2 , 317 ,  0.215
1inl , C , 2 , 293 ,  0.201
1p5q , A , 2 , 281 ,  0.096
1x87 , B , 2 , 479 ,  0.081
1mbm , D , 3 , 195 ,  0.246
1vio , A , 3 , 230 ,  0.183
1r8j , A , 2 , 272 ,  0.011
2v2g , D , 2 , 219 ,  0.064
5req , B , 3 , 619 ,  0.089
1a1v , A , 3 , 429 ,  0.093
1ccw , B , 2 , 483 ,  0.280
3abq , A , 3 , 460 ,  0.000
2pnw , A , 2 , 357 ,  0.109
1fcd , A , 3 , 401 ,  0.105
2nnu , A , 2 , 201 ,  0.149
2zbk , B , 3 , 506 ,  0.089
3kjd , B , 2 , 353 ,  0.127
2d5b , A , 3 , 500 ,  0.144
1knx , B , 2 , 304 ,  0.020
1ytf , D , 2 , 100 ,  0.100
1iak , B , 2 , 184 ,  0.043
1u8v , A , 3 , 490 ,  0.200
2paj , A , 3 , 421 ,  0.273
2au3 , A , 4 , 403 ,  0.112
