1el6 , A , 3 , 208 ,  0.087 ,  0.017
1jhd , A , 2 , 396 ,  0.240 ,  0.045
1cip , A , 2 , 316 ,  0.044 ,  0.042
1eg3 , A , 4 , 260 ,  0.296 ,  0.048
1vzy , A , 2 , 290 ,  0.045 ,  0.040
1a0p , A , 2 , 271 ,  0.125 ,  0.041
1t7d , A , 2 , 208 ,  0.240 ,  0.051
1jec , A , 3 , 510 ,  0.053 ,  0.033
2wr1 , C , 2 , 485 ,  0.072 ,  0.013
1qf8 , A , 2 , 159 ,  0.258 ,  0.044
2hxv , A , 2 , 349 ,  0.083 ,  0.036
1cuk , A , 3 , 190 ,  0.084 ,  0.033
2hsi , B , 2 , 230 ,  0.248 ,  0.051
2pw9 , C , 3 , 221 ,  0.312 ,  0.045
2fpn , A , 2 , 198 ,  0.066 ,  0.010
1sr8 , A , 3 , 282 ,  0.135 ,  0.041
1dl5 , A , 2 , 317 ,  0.240 ,  0.043
2ehz , A , 2 , 299 ,  0.241 ,  0.056
1ef0 , B , 2 , 394 ,  0.081 ,  0.031
2jz4 , A , 2 , 299 ,  0.007 ,  0.020
1fa0 , A , 3 , 509 ,  0.108 ,  0.037
1exn , A , 2 , 267 ,  0.169 ,  0.043
1c4z , A , 3 , 350 ,  0.160 ,  0.030
1hxp , A , 2 , 340 ,  0.247 ,  0.044
3n81 , G , 2 , 503 ,  0.189 ,  0.048
1u7l , A , 3 , 364 ,  0.058 ,  0.011
1kfi , A , 4 , 570 ,  0.188 ,  0.049
1x9p , A , 2 , 460 ,  0.061 ,  0.019
3i33 , A , 4 , 385 ,  0.244 ,  0.049
2ewj , A , 2 , 305 ,  0.164 ,  0.029
2o8r , B , 4 , 589 ,  0.032 ,  0.033
1ddt , A , 3 , 523 ,  0.126 ,  0.025
1d2h , A , 2 , 252 ,  0.190 ,  0.048
1gkg , A , 2 , 136 ,  0.074 ,  0.014
1yq3 , A , 4 , 614 ,  0.213 ,  0.057
2z1q , A , 4 , 546 ,  0.183 ,  0.048
