1el6 , A , 3 , 208 ,  0.087 ,  0.017 ,  25.468
1jhd , A , 2 , 396 ,  0.240 ,  0.045 ,  21.954
1cip , A , 2 , 316 ,  0.044 ,  0.042 ,  21.420
1eg3 , A , 4 , 260 ,  0.296 ,  0.048 ,  19.458
1vzy , A , 2 , 290 ,  0.045 ,  0.040 ,  22.376
1a0p , A , 2 , 271 ,  0.125 ,  0.041 ,  20.667
1t7d , A , 2 , 208 ,  0.240 ,  0.051 ,  17.426
1jec , A , 3 , 510 ,  0.053 ,  0.033 ,  26.795
2wr1 , C , 2 , 485 ,  0.072 ,  0.013 ,  37.605
1qf8 , A , 2 , 159 ,  0.258 ,  0.044 ,  17.816
2hxv , A , 2 , 349 ,  0.083 ,  0.036 ,  23.107
1cuk , A , 3 , 190 ,  0.084 ,  0.033 ,  18.931
2hsi , B , 2 , 230 ,  0.248 ,  0.051 ,  19.104
2pw9 , C , 3 , 221 ,  0.299 ,  0.045 ,  19.195
2fpn , A , 2 , 198 ,  0.066 ,  0.010 ,  29.860
1sr8 , A , 3 , 282 ,  0.135 ,  0.041 ,  21.132
1dl5 , A , 2 , 317 ,  0.240 ,  0.043 ,  21.069
2ehz , A , 2 , 299 ,  0.254 ,  0.056 ,  18.690
1ef0 , B , 2 , 394 ,  0.081 ,  0.031 ,  25.732
2jz4 , A , 2 , 299 ,  0.007 ,  0.020 ,  25.767
1fa0 , A , 3 , 509 ,  0.108 ,  0.037 ,  27.400
1exn , A , 2 , 267 ,  0.169 ,  0.043 ,  20.720
1c4z , A , 3 , 350 ,  0.166 ,  0.030 ,  26.452
1hxp , A , 2 , 340 ,  0.247 ,  0.044 ,  22.368
3n81 , G , 2 , 503 ,  0.189 ,  0.048 ,  30.650
1u7l , A , 3 , 364 ,  0.058 ,  0.011 ,  37.723
1kfi , A , 4 , 570 ,  0.188 ,  0.049 ,  27.255
1x9p , A , 2 , 460 ,  0.061 ,  0.019 ,  31.801
3i33 , A , 4 , 385 ,  0.244 ,  0.049 ,  21.175
2ewj , A , 2 , 305 ,  0.164 ,  0.029 ,  23.905
2o8r , B , 4 , 589 ,  0.032 ,  0.033 ,  33.279
1ddt , A , 3 , 523 ,  0.119 ,  0.025 ,  29.573
1d2h , A , 2 , 252 ,  0.190 ,  0.048 ,  18.702
1gkg , A , 2 , 136 ,  0.074 ,  0.014 ,  23.746
1yq3 , A , 4 , 614 ,  0.213 ,  0.057 ,  27.089
2z1q , A , 4 , 546 ,  0.196 ,  0.048 ,  26.943
2idb , A , 3 , 463 ,  0.130 ,  0.039 ,  26.864
1np7 , B , 3 , 483 ,  0.215 ,  0.043 ,  24.506
1evl , A , 2 , 401 ,  0.145 ,  0.033 ,  29.032
3d3l , B , 2 , 447 ,  0.224 ,  0.045 ,  23.135
1pfx , L , 4 , 133 ,  0.098 ,  0.014 ,  107.863
1uzk , A , 3 , 151 ,  0.238 ,  0.036 ,  19.141
1dw9 , A , 2 , 152 ,  0.039 ,  0.029 ,  18.718
3nt1 , A , 2 , 555 ,  0.205 ,  0.047 ,  24.649
