1m70 , B , 2 , 190 ,  0.189 ,  0.051 ,  17.398
2hcz , X , 2 , 241 ,  0.228 ,  0.045 ,  19.068
3ku5 , A , 2 , 333 ,  0.060 ,  0.020 ,  29.173
2q8m , A , 2 , 304 ,  0.276 ,  0.050 ,  22.645
1s9r , A , 2 , 409 ,  0.244 ,  0.054 ,  21.752
3bp1 , B , 2 , 272 ,  0.199 ,  0.045 ,  21.562
1px5 , B , 2 , 339 ,  0.180 ,  0.044 ,  21.398
1wte , A , 2 , 272 ,  0.110 ,  0.028 ,  23.135
3bq9 , A , 2 , 479 ,  0.236 ,  0.055 ,  22.670
2nz8 , B , 2 , 279 ,  0.057 ,  0.029 ,  23.308
1zq7 , B , 2 , 200 ,  0.155 ,  0.042 ,  19.762
2a6h , A , 2 , 229 ,  0.096 ,  0.025 ,  27.125
2ahr , A , 2 , 250 ,  0.104 ,  0.031 ,  23.835
1rhs , A , 2 , 292 ,  0.164 ,  0.053 ,  19.792
3ca8 , B , 2 , 263 ,  0.202 ,  0.051 ,  21.075
3rjz , A , 2 , 206 ,  0.214 ,  0.047 ,  18.806
3h4e , E , 2 , 207 ,  0.121 ,  0.024 ,  22.658
2ijr , A , 2 , 276 ,  0.098 ,  0.033 ,  26.031
1rkq , B , 2 , 271 ,  0.192 ,  0.055 ,  19.547
3nt1 , B , 2 , 552 ,  0.190 ,  0.047 ,  25.243
1lc0 , A , 2 , 290 ,  0.176 ,  0.043 ,  21.037
1cy9 , A , 2 , 245 ,  0.057 ,  0.021 ,  23.982
1ois , A , 2 , 220 ,  0.091 ,  0.029 ,  32.919
1qgi , A , 2 , 259 ,  0.131 ,  0.049 ,  19.017
1bxo , A , 2 , 326 ,  0.224 ,  0.050 ,  32.775
3bl4 , B , 2 , 111 ,  0.090 ,  0.022 ,  18.006
1zym , B , 2 , 248 ,  0.177 ,  0.035 ,  24.996
1vzy , B , 2 , 286 ,  0.042 ,  0.042 ,  21.783
1q5v , B , 2 , 116 ,  0.060 ,  0.023 ,  18.272
3kjd , A , 2 , 350 ,  0.151 ,  0.046 ,  21.669
1u94 , A , 2 , 306 ,  0.366 ,  0.043 ,  22.625
2a5w , A , 2 , 114 ,  0.193 ,  0.060 ,  15.718
2evr , A , 2 , 240 ,  0.129 ,  0.050 ,  18.590
2cfi , A , 2 , 315 ,  0.127 ,  0.037 ,  21.994
2i7d , B , 2 , 192 ,  0.234 ,  0.046 ,  18.485
2aua , B , 2 , 210 ,  0.210 ,  0.028 ,  22.651
