1m70, b ,2,190,4.731,0.051,17.398,1m70 b ,1m70,1m70 b 
2hcz, x ,2,241,5.927,0.045,19.068,2hcz x ,2hcz,2hcz x 
3ku5, a ,2,333,1.543,0.02,29.173,3ku5 a ,3ku5,3ku5 a 
2q8m, a ,2,304,7.304,0.05,22.645,2q8m a ,2q8m,2q8m a 
1s9r, a ,2,409,6.337,0.054,21.752,1s9r a ,1s9r,1s9r a 
3bp1, b ,2,272,4.905,0.045,21.562,3bp1 b ,3bp1,3bp1 b 
1px5, b ,2,339,4.868,0.044,21.398,1px5 b ,1px5,1px5 b 
1wte, a ,2,272,2.918,0.028,23.135,1wte a ,1wte,1wte a 
3bq9, a ,2,479,5.661,0.055,22.67,3bq9 a ,3bq9,3bq9 a 
2nz8, b ,2,279,1.547,0.029,23.308,2nz8 b ,2nz8,2nz8 b 
1zq7, b ,2,200,4.087,0.042,19.762,1zq7 b ,1zq7,1zq7 b 
2a6h, a ,2,229,2.486,0.025,27.125,2a6h a ,2a6h,2a6h a 
2ahr, a ,2,250,3.059,0.031,23.835,2ahr a ,2ahr,2ahr a 
1rhs, a ,2,292,4.372,0.053,19.792,1rhs a ,1rhs,1rhs a 
3ca8, b ,2,263,5.227,0.051,21.075,3ca8 b ,3ca8,3ca8 b 
3rjz, a ,2,206,5.962,0.047,18.806,3rjz a ,3rjz,3rjz a 
3h4e, e ,2,207,3.303,0.024,22.658,3h4e e ,3h4e,3h4e e 
2ijr, a ,2,276,2.664,0.033,26.031,2ijr a ,2ijr,2ijr a 
1rkq, b ,2,271,4.824,0.055,19.547,1rkq b ,1rkq,1rkq b 
3nt1, b ,2,552,4.849,0.047,25.243,3nt1 b ,3nt1,3nt1 b 
1lc0, a ,2,290,4.705,0.043,21.037,1lc0 a ,1lc0,1lc0 a 
1cy9, a ,2,245,1.489,0.021,23.982,1cy9 a ,1cy9,1cy9 a 
1ois, a ,2,220,2.528,0.029,32.919,1ois a ,1ois,1ois a 
1qgi, a ,2,259,3.346,0.049,19.017,1qgi a ,1qgi,1qgi a 
1bxo, a ,2,326,5.762,0.05,32.775,1bxo a ,1bxo,1bxo a 
3bl4, b ,2,111,2.71,0.022,18.006,3bl4 b ,3bl4,3bl4 b 
1zym, b ,2,248,4.508,0.035,24.996,1zym b ,1zym,1zym b 
1vzy, b ,2,286,1.01,0.042,21.783,1vzy b ,1vzy,1vzy b 
1q5v, b ,2,116,1.675,0.023,18.272,1q5v b ,1q5v,1q5v b 
3kjd, a ,2,350,4.003,0.046,21.669,3kjd a ,3kjd,3kjd a 
1u94, a ,2,306,9.807,0.043,22.625,1u94 a ,1u94,1u94 a 
2a5w, a ,2,114,5.176,0.06,15.718,2a5w a ,2a5w,2a5w a 
2evr, a ,2,240,3.063,0.05,18.59,2evr a ,2evr,2evr a 
2cfi, a ,2,315,3.115,0.037,21.994,2cfi a ,2cfi,2cfi a 
2i7d, b ,2,192,6.86,0.046,18.485,2i7d b ,2i7d,2i7d b 
2aua, b ,2,210,6.122,0.028,22.651,2aua b ,2aua,2aua b 
1yc9, a ,2,416,3.157,0.011,38.345,1yc9 a ,1yc9,1yc9 a 
3iac, b ,2,458,4.897,0.044,23.849,3iac b ,3iac,3iac b 
1gup, a ,2,347,6.795,0.046,22.041,1gup a ,1gup,1gup a 
3knh, m ,2,120,2.475,0.016,26.22,3knh m ,3knh,3knh m 
3hhw, k ,2,421,1.636,0.026,27.784,3hhw k ,3hhw,3hhw k 
1a0r, p ,2,188,0.73,0.021,23.509,1a0r p ,1a0r,1a0r p 
1n7z, a ,2,316,2.176,0.027,23.946,1n7z a ,1n7z,1n7z a 
1h3i, a ,2,293,4.724,0.035,21.899,1h3i a ,1h3i,1h3i a 
1a79, b ,2,171,2.009,0.042,18.151,1a79 b ,1a79,1a79 b 
2d1z, a ,2,427,3.613,0.036,25.602,2d1z a ,2d1z,2d1z a 
3c2u, b ,2,554,4.043,0.05,25.806,3c2u b ,3c2u,3c2u b 
3edp, b ,2,214,8,0.033,20.836,3edp b ,3edp,3edp b 
1m3y, a ,2,413,5.296,0.041,23.954,1m3y a ,1m3y,1m3y a 
3mty, a ,2,262,9.467,0.069,16.742,3mty a ,3mty,3mty a 
3bnj, a ,2,477,4.35,0.047,23.704,3bnj a ,3bnj,3bnj a 
3rf3, a ,2,258,2.475,0.018,87.35,3rf3 a ,3rf3,3rf3 a 
2hsi, a ,2,231,5.623,0.051,19.1,2hsi a ,2hsi,2hsi a 
2cx1, a ,2,181,4.348,0.048,17.511,2cx1 a ,2cx1,2cx1 a 
1umk, a ,2,271,2.188,0.048,19.995,1umk a ,1umk,1umk a 
1c0m, c ,2,222,4.869,0.04,20.37,1c0m c ,1c0m,1c0m c 
1du3, a ,2,90,3.604,0.023,17.68,1du3 a ,1du3,1du3 a 
1juh, a ,2,334,5.841,0.056,20.948,1juh a ,1juh,1juh a 
2qj2, b ,2,180,0.901,0.039,18.741,2qj2 b ,2qj2,2qj2 b 
1qvj, a ,2,293,2.052,0.037,22.149,1qvj a ,1qvj,1qvj a 
1n1b, b ,2,520,3.506,0.043,25.081,1n1b b ,1n1b,1n1b b 
2vd8, b ,2,374,3.714,0.036,23.554,2vd8 b ,2vd8,2vd8 b 
1wtd, a ,2,264,3.131,0.024,23.941,1wtd a ,1wtd,1wtd a 
1mty, g ,2,162,6.379,0.032,40.335,1mty g ,1mty,1mty g 
1s9r, b ,2,409,6.392,0.054,21.612,1s9r b ,1s9r,1s9r b 
1h03, p ,2,125,2.765,0.015,22.469,1h03 p ,1h03,1h03 p 
3mg1, a ,2,313,2.351,0.043,21.443,3mg1 a ,3mg1,3mg1 a 
1vfg, b ,2,358,3.659,0.025,27.018,1vfg b ,1vfg,1vfg b 
2eiy, b ,2,304,3.37,0.046,21.944,2eiy b ,2eiy,2eiy b 
1jj2, o ,2,143,1.383,0.005,39.952,1jj2 o ,1jj2,1jj2 o 
2r6i, b ,2,263,5.181,0.036,22.492,2r6i b ,2r6i,2r6i b 
1iuq, a ,2,350,3.972,0.046,20.982,1iuq a ,1iuq,1iuq a 
3mzf, a ,2,365,2.569,0.035,24.201,3mzf a ,3mzf,3mzf a 
2o2k, b ,2,342,5.259,0.039,23.068,2o2k b ,2o2k,2o2k b 
2jzx, a ,2,160,10.211,0.046,17.582,2jzx a ,2jzx,2jzx a 
2dpl, b ,2,278,2.941,0.039,21.171,2dpl b ,2dpl,2dpl b 
3gos, a ,2,270,7.692,0.042,20.445,3gos a ,3gos,3gos a 
2bmr, a ,2,458,4.809,0.051,23.443,2bmr a ,2bmr,2bmr a 
1v0w, a ,2,497,5.607,0.057,21.789,1v0w a ,1v0w,1v0w a 
2wy6, b ,2,365,3.245,0.048,21.321,2wy6 b ,2wy6,2wy6 b 
2abs, a ,2,374,6.691,0.058,100.651,2abs a ,2abs,2abs a 
1c1d, a ,2,349,4.167,0.055,20.236,1c1d a ,1c1d,1c1d a 
2idj, d ,2,287,5.539,0.044,20.266,2idj d ,2idj,2idj d 
2g3p, a ,2,201,2.789,0.038,19.213,2g3p a ,2g3p,2g3p a 
3f9m, a ,2,458,4.423,0.048,23.096,3f9m a ,3f9m,3f9m a 
3ney, f ,2,177,2.874,0.045,19.538,3ney f ,3ney,3ney f 
1z53, a ,2,299,6.163,0.056,18.914,1z53 a ,1z53,1z53 a 
3qxz, b ,2,263,5.477,0.046,20.542,3qxz b ,3qxz,3qxz b 
1e5r, b ,2,262,5.134,0.041,20.341,1e5r b ,1e5r,1e5r b 
1kor, c ,2,386,4.865,0.035,26.112,1kor c ,1kor,1kor c 
3bge, a ,2,166,3.56,0.025,20.722,3bge a ,3bge,3bge a 
3dbk, a ,2,298,6.656,0.054,18.89,3dbk a ,3dbk,3dbk a 
2wb0, x ,2,315,8.145,0.037,23.425,2wb0 x ,2wb0,2wb0 x 
1bht, a ,2,176,0.774,0.039,20.587,1bht a ,1bht,1bht a 
1xvi, b ,2,242,5.207,0.049,19.451,1xvi b ,1xvi,1xvi b 
3i5d, a ,2,324,4.946,0.017,33.817,3i5d a ,3i5d,3i5d a 
