2prg A , 1 , 271 ,  0.269 ,  0.046
1h7z A , 1 , 191 ,  0.262 ,  0.048
1aol A , 1 , 228 ,  0.254 ,  0.046
1b13 A , 1 , 54 ,  0.315 ,  0.061
1e6i A , 1 , 110 ,  0.364 ,  0.049
1b8q A , 1 , 127 ,  0.181 ,  0.042
1ckv A , 1 , 141 ,  0.021 ,  0.019
1a85 A , 1 , 158 ,  0.367 ,  0.059
1qoy A , 1 , 303 ,  0.129 ,  0.016
1z60 A , 1 , 59 ,  0.559 ,  0.060
1f3y A , 1 , 165 ,  0.267 ,  0.052
1e9t A , 1 , 59 ,  0.203 ,  0.048
1fm0 D , 1 , 81 ,  0.333 ,  0.057
1cma A , 1 , 104 ,  0.279 ,  0.039
1g8t A , 1 , 242 ,  0.360 ,  0.059
1cr8 A , 1 , 42 ,  0.381 ,  0.051
1jov A , 1 , 281 ,  0.377 ,  0.058
1rv1 A , 1 , 85 ,  0.294 ,  0.053
1dhs A , 1 , 344 ,  0.195 ,  0.037
1avp A , 1 , 204 ,  0.338 ,  0.057
1a5y A , 1 , 283 ,  0.187 ,  0.053
1j1h A , 1 , 123 ,  0.390 ,  0.054
1ija A , 1 , 148 ,  0.432 ,  0.059
1r7l A , 1 , 103 ,  0.204 ,  0.048
2aj7 A , 1 , 161 ,  0.273 ,  0.040
1ssl A , 1 , 48 ,  0.333 ,  0.062
1jid A , 1 , 114 ,  0.333 ,  0.051
1c8z A , 1 , 284 ,  0.356 ,  0.057
2gmq A , 1 , 106 ,  0.481 ,  0.057
1dvk A , 1 , 149 ,  0.376 ,  0.055
2jne A , 1 , 71 ,  0.254 ,  0.034
1bw3 A , 1 , 125 ,  0.320 ,  0.057
1ehs A , 1 , 48 ,  0.438 ,  0.042
1a73 A , 1 , 162 ,  0.185 ,  0.029
1fqt A , 1 , 113 ,  0.310 ,  0.065
1oxw A , 1 , 349 ,  0.309 ,  0.054
1oqv A , 1 , 171 ,  0.363 ,  0.062
1mp1 A , 1 , 111 ,  0.369 ,  0.057
1b8z A , 1 , 67 ,  0.149 ,  0.028
1am2 A , 1 , 181 ,  0.304 ,  0.049
2hi7 A , 1 , 188 ,  0.213 ,  0.047
1c5e A , 1 , 95 ,  0.432 ,  0.062
1a2i A , 1 , 107 ,  0.243 ,  0.047
1rrz A , 1 , 66 ,  0.348 ,  0.049
2isb A , 1 , 190 ,  0.368 ,  0.061
1dt4 A , 1 , 73 ,  0.479 ,  0.053
1ln0 A , 1 , 92 ,  0.359 ,  0.055
1bor A , 1 , 56 ,  0.429 ,  0.078
1cn3 A , 1 , 283 ,  0.201 ,  0.038
1a33 A , 1 , 174 ,  0.437 ,  0.064
1bow A , 1 , 143 ,  0.336 ,  0.053
1ad6 A , 1 , 185 ,  0.346 ,  0.051
1aja A , 1 , 435 ,  0.241 ,  0.051
1adr A , 1 , 76 ,  0.434 ,  0.059
1j3m A , 1 , 127 ,  0.378 ,  0.042
1y0k A , 1 , 180 ,  0.267 ,  0.052
1so9 A , 1 , 131 ,  0.229 ,  0.038
1gtd A , 1 , 76 ,  0.211 ,  0.023
1fw9 A , 1 , 164 ,  0.256 ,  0.057
1b2p A , 1 , 119 ,  0.261 ,  0.048
1a2z A , 1 , 220 ,  0.418 ,  0.058
1g57 A , 1 , 205 ,  0.380 ,  0.058
1nyc A , 1 , 111 ,  0.369 ,  0.050
1bh3 A , 1 , 289 ,  0.197 ,  0.041
1b0y A , 1 , 85 ,  0.424 ,  0.061
1dm9 A , 1 , 104 ,  0.231 ,  0.044
11as A , 1 , 327 ,  0.266 ,  0.052
1n81 A , 1 , 186 ,  0.333 ,  0.042
1occ A , 1 , 514 ,  0.265 ,  0.051
1jr5 A , 1 , 90 ,  0.422 ,  0.062
1lm5 A , 1 , 189 ,  0.206 ,  0.058
1mzg A , 1 , 140 ,  0.243 ,  0.045
101m A , 1 , 154 ,  0.396 ,  0.049
1txo A , 1 , 230 ,  0.357 ,  0.056
1ilv A , 1 , 235 ,  0.226 ,  0.045
1wfe A , 1 , 86 ,  0.035 ,  0.006
1aro L , 1 , 149 ,  0.302 ,  0.058
1gwy A , 1 , 175 ,  0.343 ,  0.063
1d9n A , 1 , 75 ,  0.347 ,  0.045
1aun A , 1 , 208 ,  0.245 ,  0.056
1ap8 A , 1 , 213 ,  0.014 ,  0.032
1bkj A , 1 , 230 ,  0.074 ,  0.037
1iu4 A , 1 , 331 ,  0.211 ,  0.046
1b66 A , 1 , 138 ,  0.333 ,  0.037
1ehk A , 1 , 544 ,  0.268 ,  0.053
1aj3 A , 1 , 98 ,  0.296 ,  0.029
1ame A , 1 , 66 ,  0.530 ,  0.065
1c3q A , 1 , 284 ,  0.261 ,  0.062
2nwt A , 1 , 69 ,  0.043 ,  0.002
1ae9 A , 1 , 171 ,  0.444 ,  0.054
1edx A , 1 , 40 ,  0.575 ,  0.065
155c A , 1 , 134 ,  0.336 ,  0.055
1di6 A , 1 , 183 ,  0.290 ,  0.058
1jni A , 1 , 62 ,  0.145 ,  0.043
1eni A , 1 , 137 ,  0.285 ,  0.043
1a2a A , 1 , 122 ,  0.320 ,  0.053
1y1e X , 1 , 272 ,  0.320 ,  0.060
1d6g A , 1 , 47 ,  0.128 ,  0.034
2o34 A , 1 , 241 ,  0.282 ,  0.053
1af5 A , 1 , 126 ,  0.278 ,  0.045
1iu3 C , 1 , 115 ,  0.278 ,  0.056
1aho A , 1 , 66 ,  0.515 ,  0.065
2iwm A , 1 , 334 ,  0.171 ,  0.048
1an1 I , 1 , 40 ,  0.575 ,  0.068
1drt A , 1 , 315 ,  0.267 ,  0.054
1i5h W , 1 , 50 ,  0.260 ,  0.032
1mvf A , 1 , 126 ,  0.389 ,  0.060
1i51 E , 1 , 18 ,  0.111 ,  0.030
1hp8 A , 1 , 68 ,  0.441 ,  0.046
1h5p A , 1 , 95 ,  0.337 ,  0.055
1j1v A , 1 , 92 ,  0.522 ,  0.061
1kaf A , 1 , 108 ,  0.398 ,  0.059
2nqw A , 1 , 96 ,  0.573 ,  0.065
1xjh A , 1 , 62 ,  0.290 ,  0.040
1jb7 B , 1 , 226 ,  0.066 ,  0.026
1g3j A , 1 , 522 ,  0.100 ,  0.017
1bk7 A , 1 , 190 ,  0.242 ,  0.050
1f82 A , 1 , 424 ,  0.196 ,  0.045
1wib A , 1 , 92 ,  0.174 ,  0.023
1at3 A , 1 , 217 ,  0.369 ,  0.059
1e5k A , 1 , 188 ,  0.266 ,  0.058
1cmi A , 1 , 85 ,  0.494 ,  0.063
1cmx A , 1 , 214 ,  0.252 ,  0.056
1qw2 A , 1 , 97 ,  0.309 ,  0.046
1pg6 A , 1 , 206 ,  0.150 ,  0.042
1dtd B , 1 , 61 ,  0.443 ,  0.061
1bm8 A , 1 , 99 ,  0.374 ,  0.063
1a1t A , 1 , 55 ,  0.255 ,  0.036
1ahq A , 1 , 133 ,  0.421 ,  0.057
1hnr A , 1 , 47 ,  0.426 ,  0.050
1fle I , 1 , 47 ,  0.362 ,  0.050
1j0t A , 1 , 78 ,  0.397 ,  0.059
4mt2 A , 1 , 61 ,  0.066 ,  0.034
2odk A , 1 , 61 ,  0.197 ,  0.049
1rv9 A , 1 , 242 ,  0.360 ,  0.059
1jvr A , 1 , 137 ,  0.015 ,  0.007
1b6e A , 1 , 121 ,  0.372 ,  0.057
2atz A , 1 , 172 ,  0.244 ,  0.048
1abv A , 1 , 105 ,  0.410 ,  0.056
1gcc A , 1 , 63 ,  0.476 ,  0.051
1dmg A , 1 , 172 ,  0.279 ,  0.050
1aui A , 1 , 378 ,  0.257 ,  0.044
1aml A , 1 , 40 ,  0.350 ,  0.025
1ap9 A , 1 , 219 ,  0.333 ,  0.045
1a0a A , 1 , 63 ,  0.159 ,  0.020
1b9c A , 1 , 224 ,  0.290 ,  0.056
1qhb A , 1 , 595 ,  0.158 ,  0.044
1f75 A , 1 , 217 ,  0.166 ,  0.045
1yoz A , 1 , 113 ,  0.336 ,  0.043
1wn9 A , 1 , 123 ,  0.423 ,  0.063
1l3a A , 1 , 166 ,  0.187 ,  0.034
1o22 A , 1 , 146 ,  0.233 ,  0.025
1is7 K , 1 , 84 ,  0.274 ,  0.055
1eyu A , 1 , 156 ,  0.237 ,  0.037
1ro7 A , 1 , 255 ,  0.216 ,  0.054
2sic E , 1 , 275 ,  0.353 ,  0.071
1qqh A , 1 , 144 ,  0.243 ,  0.039
1xn8 A , 1 , 131 ,  0.244 ,  0.033
1lg7 A , 1 , 163 ,  0.301 ,  0.052
1q90 B , 1 , 212 ,  0.212 ,  0.029
1b65 A , 1 , 363 ,  0.295 ,  0.055
1t57 A , 1 , 179 ,  0.402 ,  0.056
1a6f A , 1 , 113 ,  0.398 ,  0.059
1xfh A , 1 , 405 ,  0.274 ,  0.047
1i5j A , 1 , 67 ,  0.284 ,  0.022
1ml9 A , 1 , 260 ,  0.246 ,  0.045
1dqc A , 1 , 73 ,  0.219 ,  0.054
1ihn A , 1 , 111 ,  0.541 ,  0.062
1eo8 B , 1 , 175 ,  0.114 ,  0.013
2gkp A , 1 , 178 ,  0.365 ,  0.057
1aoo A , 1 , 40 ,  0.575 ,  0.070
1t07 A , 1 , 78 ,  0.244 ,  0.039
1ff3 A , 1 , 210 ,  0.305 ,  0.056
2ooj A , 1 , 129 ,  0.271 ,  0.040
1pv5 A , 1 , 263 ,  0.247 ,  0.047
1a0k A , 1 , 130 ,  0.338 ,  0.064
3ci0 I , 1 , 81 ,  0.358 ,  0.045
1g13 A , 1 , 160 ,  0.244 ,  0.042
1dj7 A , 1 , 109 ,  0.284 ,  0.055
1b78 A , 1 , 184 ,  0.136 ,  0.044
1a30 A , 1 , 99 ,  0.424 ,  0.053
1f46 A , 1 , 139 ,  0.396 ,  0.050
1i9b A , 1 , 205 ,  0.229 ,  0.038
1xx7 A , 1 , 172 ,  0.215 ,  0.050
1c5a A , 1 , 65 ,  0.538 ,  0.061
1akz A , 1 , 223 ,  0.238 ,  0.054
1ay9 A , 1 , 108 ,  0.278 ,  0.036
1g72 A , 1 , 571 ,  0.284 ,  0.064
1g24 A , 1 , 211 ,  0.223 ,  0.048
1p32 A , 1 , 182 ,  0.198 ,  0.029
