2prg , C , 1 , 32 ,  0.000 ,  0.001
1hxs , 4 , 1 , 68 ,  0.044 ,  0.008
2jx8 , A , 1 , 47 ,  0.043 ,  0.032
1yo7 , A , 1 , 120 ,  0.358 ,  0.045
1z2u , A , 1 , 150 ,  0.253 ,  0.045
1jfb , A , 1 , 424 ,  0.116 ,  0.051
1aol , A , 1 , 228 ,  0.263 ,  0.046
3buu , B , 1 , 242 ,  0.240 ,  0.056
2eng , A , 1 , 205 ,  0.283 ,  0.058
3a1p , B , 1 , 85 ,  0.271 ,  0.039
1vhh , A , 1 , 157 ,  0.312 ,  0.061
1vju , B , 1 , 291 ,  0.323 ,  0.049
1d2v , C , 1 , 465 ,  0.140 ,  0.043
2spc , A , 1 , 107 ,  0.093 ,  0.006
1qoy , A , 1 , 303 ,  0.129 ,  0.016
1z60 , A , 1 , 59 ,  0.508 ,  0.060
1e9t , A , 1 , 59 ,  0.203 ,  0.048
1irq , A , 1 , 51 ,  0.275 ,  0.033
1g8t , A , 1 , 242 ,  0.360 ,  0.059
1z70 , X , 1 , 276 ,  0.283 ,  0.060
1jov , A , 1 , 281 ,  0.377 ,  0.058
2nrl , A , 1 , 170 ,  0.324 ,  0.060
2gz4 , C , 1 , 196 ,  0.337 ,  0.052
1q3i , A , 1 , 192 ,  0.422 ,  0.056
1t3y , A , 1 , 131 ,  0.405 ,  0.054
1fvg , A , 1 , 189 ,  0.275 ,  0.055
1xo7 , A , 1 , 166 ,  0.386 ,  0.065
1cl8 , A , 1 , 261 ,  0.115 ,  0.037
3mab , A , 1 , 90 ,  0.456 ,  0.066
2w15 , A , 1 , 218 ,  0.367 ,  0.062
2ofc , A , 1 , 141 ,  0.369 ,  0.061
1k4i , A , 1 , 216 ,  0.338 ,  0.055
1r7l , A , 1 , 103 ,  0.204 ,  0.048
2aj7 , A , 1 , 161 ,  0.261 ,  0.040
1ssl , A , 1 , 48 ,  0.333 ,  0.062
1jid , A , 1 , 114 ,  0.333 ,  0.051
1nln , A , 1 , 203 ,  0.325 ,  0.057
2gmq , A , 1 , 106 ,  0.481 ,  0.057
3rrl , B , 1 , 197 ,  0.249 ,  0.045
1dvk , A , 1 , 149 ,  0.362 ,  0.055
2jne , A , 1 , 71 ,  0.254 ,  0.034
1ehs , A , 1 , 48 ,  0.438 ,  0.042
1a73 , A , 1 , 162 ,  0.185 ,  0.029
1roz , A , 1 , 336 ,  0.182 ,  0.046
3g0m , A , 1 , 139 ,  0.353 ,  0.056
1oxw , C , 1 , 350 ,  0.309 ,  0.054
1oqv , A , 1 , 171 ,  0.363 ,  0.062
3p1f , A , 1 , 119 ,  0.353 ,  0.042
2ecs , A , 1 , 61 ,  0.361 ,  0.049
1h16 , A , 1 , 765 ,  0.212 ,  0.055
2w2e , A , 1 , 272 ,  0.346 ,  0.049
1mp1 , A , 1 , 111 ,  0.369 ,  0.057
2hi7 , B , 1 , 134 ,  0.343 ,  0.043
2nwf , A , 1 , 148 ,  0.250 ,  0.064
2x2v , A , 1 , 68 ,  0.265 ,  0.024
3ku3 , B , 1 , 173 ,  0.116 ,  0.013
1c5e , A , 1 , 95 ,  0.432 ,  0.062
1o82 , A , 1 , 70 ,  0.529 ,  0.067
1rss , A , 1 , 140 ,  0.229 ,  0.040
2jaf , A , 1 , 244 ,  0.320 ,  0.045
1rrz , A , 1 , 66 ,  0.348 ,  0.049
1sb0 , A , 1 , 87 ,  0.356 ,  0.042
2isb , A , 1 , 190 ,  0.368 ,  0.061
1uxa , A , 1 , 185 ,  0.259 ,  0.049
3sil , A , 1 , 383 ,  0.366 ,  0.062
2wlv , A , 1 , 154 ,  0.299 ,  0.046
2bs2 , C , 1 , 256 ,  0.207 ,  0.030
1utg , A , 1 , 70 ,  0.329 ,  0.040
1skn , P , 1 , 74 ,  0.135 ,  0.029
2hd9 , A , 1 , 145 ,  0.331 ,  0.054
3cmb , A , 1 , 264 ,  0.265 ,  0.047
2rl8 , A , 1 , 148 ,  0.365 ,  0.053
1wdc , A , 1 , 64 ,  0.156 ,  0.005
1y0k , A , 1 , 180 ,  0.267 ,  0.052
3ik5 , C , 1 , 117 ,  0.265 ,  0.046
1so9 , A , 1 , 131 ,  0.229 ,  0.038
1euw , A , 1 , 147 ,  0.299 ,  0.042
1lr5 , B , 1 , 159 ,  0.327 ,  0.049
2za4 , B , 1 , 89 ,  0.416 ,  0.059
1w85 , I , 1 , 42 ,  0.524 ,  0.066
3q6x , A , 1 , 253 ,  0.245 ,  0.065
1iqz , A , 1 , 81 ,  0.506 ,  0.069
2hba , A , 1 , 52 ,  0.135 ,  0.055
1qxy , A , 1 , 249 ,  0.345 ,  0.059
2c36 , A , 1 , 274 ,  0.281 ,  0.048
1f02 , T , 1 , 66 ,  0.303 ,  0.024
2exf , A , 1 , 44 ,  0.091 ,  0.038
1nyc , A , 1 , 111 ,  0.369 ,  0.050
2kdc , A , 1 , 121 ,  0.107 ,  0.015
1dm9 , A , 1 , 104 ,  0.231 ,  0.044
1p35 , C , 1 , 295 ,  0.197 ,  0.043
2vqe , N , 1 , 60 ,  0.283 ,  0.031
2vqe , P , 1 , 83 ,  0.289 ,  0.053
2vqe , R , 1 , 73 ,  0.370 ,  0.050
1n81 , A , 1 , 186 ,  0.333 ,  0.042
2pbk , B , 1 , 230 ,  0.365 ,  0.059
1lm5 , B , 1 , 193 ,  0.218 ,  0.058
3dnj , B , 1 , 90 ,  0.456 ,  0.064
1cmb , A , 1 , 104 ,  0.240 ,  0.041
1xpp , D , 1 , 114 ,  0.088 ,  0.021
1wfe , A , 1 , 86 ,  0.035 ,  0.006
1d9n , A , 1 , 75 ,  0.347 ,  0.045
1yu5 , X , 1 , 67 ,  0.269 ,  0.052
1vq8 , 2 , 1 , 46 ,  0.152 ,  0.022
1vq8 , C , 1 , 246 ,  0.073 ,  0.019
1vq8 , H , 1 , 160 ,  0.244 ,  0.037
1vq8 , M , 1 , 194 ,  0.211 ,  0.035
1vq8 , O , 1 , 115 ,  0.270 ,  0.057
1vq8 , X , 1 , 82 ,  0.354 ,  0.052
3kic , A , 1 , 520 ,  0.000 ,  0.000
1t60 , D , 1 , 224 ,  0.263 ,  0.045
1iu4 , A , 1 , 331 ,  0.218 ,  0.046
2nwt , A , 1 , 69 ,  0.043 ,  0.002
1h8e , H , 1 , 89 ,  0.494 ,  0.062
1ae9 , A , 1 , 171 ,  0.444 ,  0.054
1edx , A , 1 , 40 ,  0.575 ,  0.065
1v7r , A , 1 , 186 ,  0.199 ,  0.049
2dsx , A , 1 , 52 ,  0.327 ,  0.065
1jni , A , 1 , 62 ,  0.145 ,  0.043
1sx5 , B , 1 , 238 ,  0.197 ,  0.039
1l8b , B , 1 , 190 ,  0.326 ,  0.048
2ag4 , A , 1 , 164 ,  0.226 ,  0.040
1r45 , A , 1 , 201 ,  0.194 ,  0.047
