1bi3A ,  3 ,  211 ,  Domain 1 :  4 - 74 ,  Domain 2 :  75 - 140 ,  Domain 3 :  148 - 223
1skyE ,  3 ,  470 ,  Domain 1 :  1 - 82 ,  Domain 2 :  84 - 352 ,  Domain 3 :  354 - 469
1hjpA ,  3 ,  186 ,  Domain 1 :  1 - 66 ,  Domain 2 :  67 - 158 ,  Domain 3 :  159 - 202
1chuA ,  3 ,  478 ,  Domain 1 :  2 - 239    355 - 410 ,  Domain 2 :  245 - 348 ,  Domain 3 :  429 - 516
1ksiA ,  3 ,  641 ,  Domain 1 :  6 - 101 ,  Domain 2 :  102 - 197 ,  Domain 3 :  231 - 646
1pkyA ,  3 ,  464 ,  Domain 1 :  2 - 69    169 - 335 ,  Domain 2 :  70 - 168 ,  Domain 3 :  336 - 469
1tuiA ,  3 ,  397 ,  Domain 1 :  9 - 213 ,  Domain 2 :  216 - 307 ,  Domain 3 :  311 - 404
1kitA ,  3 ,  757 ,  Domain 1 :  25 - 81    94 - 213 ,  Domain 2 :  214 - 353    541 - 781 ,  Domain 3 :  354 - 540
1iraY ,  3 ,  311 ,  Domain 1 :  3 - 94 ,  Domain 2 :  95 - 200 ,  Domain 3 :  201 - 311
1bhgA ,  3 ,  611 ,  Domain 1 :  22 - 224 ,  Domain 2 :  225 - 328 ,  Domain 3 :  329 - 631
1ctnA ,  3 ,  538 ,  Domain 1 :  24 - 130 ,  Domain 2 :  131 - 442    519 - 561 ,  Domain 3 :  443 - 518
1a8yA ,  3 ,  338 ,  Domain 1 :  3 - 126 ,  Domain 2 :  127 - 228 ,  Domain 3 :  229 - 347
1cs6A ,  4 ,  382 ,  Domain 1 :  7 - 104 ,  Domain 2 :  105 - 209 ,  Domain 3 :  210 - 298 ,  Domain 4 :  299 - 388
1wgtA ,  4 ,  170 ,  Domain 1 :  2 - 42 ,  Domain 2 :  43 - 85 ,  Domain 3 :  86 - 128 ,  Domain 4 :  129 - 171
