1jhd , A , 2 , 396 ,  0.240 ,  0.045 ,  21.954
1cip , A , 2 , 316 ,  0.044 ,  0.042 ,  21.420
1vzy , A , 2 , 290 ,  0.045 ,  0.040 ,  22.376
1a0p , A , 2 , 271 ,  0.125 ,  0.041 ,  20.667
1t7d , A , 2 , 208 ,  0.240 ,  0.051 ,  17.426
2wr1 , C , 2 , 485 ,  0.072 ,  0.013 ,  37.605
1qf8 , A , 2 , 159 ,  0.258 ,  0.044 ,  17.816
2hxv , A , 2 , 349 ,  0.083 ,  0.036 ,  23.107
2hsi , B , 2 , 230 ,  0.248 ,  0.051 ,  19.104
2fpn , A , 2 , 198 ,  0.066 ,  0.010 ,  29.860
1dl5 , A , 2 , 317 ,  0.240 ,  0.043 ,  21.069
2ehz , A , 2 , 299 ,  0.241 ,  0.056 ,  18.690
1ef0 , B , 2 , 394 ,  0.081 ,  0.031 ,  25.732
2jz4 , A , 2 , 299 ,  0.007 ,  0.020 ,  25.767
1exn , A , 2 , 267 ,  0.169 ,  0.043 ,  20.720
1hxp , A , 2 , 340 ,  0.232 ,  0.044 ,  22.368
3n81 , G , 2 , 503 ,  0.189 ,  0.048 ,  30.650
1x9p , A , 2 , 460 ,  0.061 ,  0.019 ,  31.801
2ewj , A , 2 , 305 ,  0.105 ,  0.029 ,  23.905
1d2h , A , 2 , 252 ,  0.190 ,  0.048 ,  18.702
1gkg , A , 2 , 136 ,  0.074 ,  0.014 ,  23.746
1evl , A , 2 , 401 ,  0.145 ,  0.033 ,  29.032
3d3l , B , 2 , 447 ,  0.224 ,  0.045 ,  23.135
1dw9 , A , 2 , 152 ,  0.039 ,  0.029 ,  18.718
3nt1 , A , 2 , 554 ,  0.184 ,  0.047 ,  24.649
1r1h , A , 2 , 696 ,  0.145 ,  0.043 ,  26.953
1j7x , A , 2 , 298 ,  0.107 ,  0.034 ,  23.245
1hv9 , A , 2 , 449 ,  0.045 ,  0.019 ,  47.869
3ku3 , A , 2 , 321 ,  0.047 ,  0.018 ,  29.548
1noy , B , 2 , 346 ,  0.182 ,  0.039 ,  23.851
2i71 , A , 2 , 366 ,  0.131 ,  0.033 ,  24.686
2vsg , A , 2 , 358 ,  0.075 ,  0.015 ,  31.668
2oez , A , 2 , 265 ,  0.181 ,  0.032 ,  22.952
1hd8 , A , 2 , 337 ,  0.095 ,  0.032 ,  23.854
2fcw , B , 2 , 78 ,  0.090 ,  0.030 ,  15.976
1t8s , A , 2 , 439 ,  0.098 ,  0.040 ,  33.525
2gq1 , A , 2 , 304 ,  0.240 ,  0.052 ,  19.543
2dpl , A , 2 , 287 ,  0.108 ,  0.039 ,  20.985
1xvi , A , 2 , 238 ,  0.197 ,  0.049 ,  18.560
2pqc , A , 2 , 445 ,  0.128 ,  0.052 ,  29.530
1bx4 , A , 2 , 342 ,  0.281 ,  0.058 ,  20.452
1jgt , A , 2 , 490 ,  0.124 ,  0.051 ,  25.016
2vqe , D , 2 , 208 ,  0.154 ,  0.043 ,  25.484
2vqe , M , 2 , 125 ,  0.080 ,  0.015 ,  34.887
1hdh , A , 2 , 524 ,  0.288 ,  0.059 ,  22.932
1on2 , A , 2 , 135 ,  0.081 ,  0.031 ,  22.489
2pif , A , 2 , 244 ,  0.164 ,  0.051 ,  19.742
1vcb , C , 2 , 142 ,  0.169 ,  0.036 ,  19.883
1vq8 , W , 2 , 154 ,  0.221 ,  0.055 ,  20.311
