PDB , Chain , Domains, Length, Interaction Energy, Density, Radius of Gyration,,PDB , Chain , Length, Interaction Energy, Density, Radius of Gyration
1jhd , A ,2,396,3.249,0.045,21.954,,2prg , A ,271,2.52,0.046,20.017
1c2a , A ,2,120,1.268,0.036,17.563,,1h7z , A ,191,1.972,0.048,17.513
1a0p , A ,2,271,2.093,0.041,20.667,,1aol , A ,228,2.282,0.046,20.028
2hxv , A ,2,349,2.451,0.036,23.107,,1b13 , A ,54,0.935,0.061,10.918
1dl5 , A ,2,317,2.612,0.043,21.069,,1e6i , A ,110,1.387,0.049,14.374
1be3 , B ,2,419,3.098,0.041,26.764,,1b8q , A ,127,1.37,0.042,15.671
1y7b , A ,2,534,3.808,0.048,25.952,,1ckv , A ,141,0.511,0.019,24.467
1fa0 , A ,3,509,3.252,0.037,27.4,,1a85 , A ,158,1.96,0.059,31.998
1k8w , A ,2,310,2.382,0.033,23.275,,1qoy , A ,303,1.791,0.016,30.888
2o8r , B ,4,589,3.461,0.033,33.279,,1z60 , A ,59,0.991,0.06,11.218
1ddt , A ,3,523,3.146,0.025,29.573,,1f3y , A ,165,1.697,0.052,17.792
1fgs , A ,2,393,2.81,0.043,22.81,,1e9t , A ,59,0.77,0.048,12.522
1pcp , A ,2,106,1.157,0.037,17.456,,1fm0 , D ,81,1.21,0.057,12.213
1j1z , B ,2,386,2.957,0.035,25.546,,1cma , A ,104,1.261,0.039,17.014
1abw , A ,2,285,2.153,0.033,21.733,,1g8t , A ,242,2.593,0.059,17.999
1acm , A ,2,310,2.78,0.051,19.95,,1cr8 , A ,42,0.746,0.051,19.149
1dw9 , A ,2,152,1.372,0.029,18.718,,1jov , A ,281,2.88,0.058,18.444
1sox , A ,3,463,3.673,0.044,25.262,,1rv1 , A ,85,1.213,0.053,12.912
1hn0 , A ,4,971,4.714,0.03,35.115,,1dhs , A ,344,2.856,0.037,23.524
1hd8 , A ,2,337,2.052,0.032,23.854,,1avp , A ,204,2.291,0.057,31.42
1f02 , I ,3,282,1.474,0.013,31.745,,1a5y , A ,283,2.721,0.053,26.75
1a6e , A ,3,503,2.821,0.027,37.276,,1j1h , A ,123,1.544,0.054,23.006
1a1f , A ,3,84,0.833,0.019,17.758,,1ija , A ,148,1.925,0.059,14.845
1bcc , D ,2,241,0.62,0.02,31.885,,1r7l , A ,103,1.236,0.048,14.802
1ttu , A ,3,435,2.93,0.032,26.84,,2aj7 , A ,161,1.689,0.04,19.351
1nij , A ,2,317,2.717,0.043,21.392,,1ssl , A ,48,0.868,0.062,12.096
1h8e , D ,3,467,3.275,0.037,28.075,,1jid , A ,114,1.37,0.051,14.976
1fcd , A ,3,401,3.183,0.048,21.543,,1c8z , A ,284,2.868,0.057,20.176
1nxz , A ,2,242,1.904,0.036,21.794,,2gmq , A ,106,1.447,0.057,13.574
1d5y , A ,3,288,2.506,0.039,21.39,,1dvk , A ,149,1.809,0.055,16.557
1af7 , A ,2,274,1.922,0.037,21.62,,2jne , A ,71,0.859,0.034,49.551
1dd3 , A ,2,128,1.078,0.025,19.409,,1bw3 , A ,125,1.639,0.057,14.611
1qze , A ,4,214,0.885,0.006,39.425,,1ehs , A ,48,0.758,0.042,11.625
1j5y , A ,2,167,1.469,0.032,19.554,,1a73 , A ,162,1.462,0.029,19.967
1gz0 , A ,2,235,1.855,0.037,22.205,,1fqt , A ,113,1.581,0.065,14.12
10000000000000000000000000000000000000000000000000000000000000000000000000000000, F ,3,466,3.27,0.038,29.796,,1oxw , A ,349,3.276,0.054,21.846
1y7e , A ,2,397,2.602,0.04,26.647,,1oqv , A ,171,2.085,0.062,16.146
1ckl , A ,2,126,1.02,0.018,22.24,,1mp1 , A ,111,1.502,0.057,13.39
