PDB, CHAIN, DOMAINS, LENGTH, ENERGY, DENSITY, RADIUS OF GYRATION
1eg3 , A , 4 , 260 ,  0.296 ,  0.048 ,  19.458
1kfi , A , 4 , 570 ,  0.188 ,  0.049 ,  27.255
3i33 , A , 4 , 385 ,  0.247 ,  0.049 ,  21.175
2o8r , B , 4 , 589 ,  0.032 ,  0.033 ,  33.279
1yq3 , A , 4 , 614 ,  0.213 ,  0.057 ,  27.089
2z1q , A , 4 , 546 ,  0.196 ,  0.048 ,  26.943
1pfx , L , 4 , 133 ,  0.098 ,  0.014 ,  107.863
1hn0 , A , 4 , 971 ,  0.060 ,  0.030 ,  35.115
2uvo , A , 4 , 172 ,  0.017 ,  0.033 ,  18.798
1pxy , A , 4 , 465 ,  0.084 ,  0.035 ,  25.692
1vlo , A , 4 , 354 ,  0.150 ,  0.044 ,  21.487
1svb , A , 4 , 395 ,  0.073 ,  0.014 ,  34.370
3a21 , A , 4 , 616 ,  0.193 ,  0.049 ,  25.188
2au3 , A , 4 , 403 ,  0.119 ,  0.035 ,  24.684
1pfo , A , 4 , 471 ,  0.119 ,  0.017 ,  35.383
2ols , A , 4 , 725 ,  0.074 ,  0.029 ,  31.336
1acc , A , 4 , 665 ,  0.153 ,  0.025 ,  32.793
3cvr , A , 4 , 469 ,  0.070 ,  0.019 ,  31.734
1ygy , B , 4 , 527 ,  0.089 ,  0.030 ,  28.373
3c8v , C , 4 , 456 ,  0.160 ,  0.053 ,  30.116
1jmu , B , 4 , 608 ,  0.067 ,  0.015 ,  41.097
2b5e , A , 4 , 483 ,  0.101 ,  0.022 ,  30.110
3ml1 , A , 4 , 808 ,  0.167 ,  0.056 ,  26.033
2e28 , A , 4 , 587 ,  0.131 ,  0.026 ,  31.866
3gvj , A , 4 , 698 ,  0.013 ,  0.025 ,  33.558
1dq3 , A , 4 , 454 ,  0.172 ,  0.039 ,  25.202
1qtm , A , 4 , 539 ,  0.215 ,  0.037 ,  25.574
1sh0 , A , 4 , 502 ,  0.135 ,  0.043 ,  23.914
1xfx , A , 4 , 735 ,  0.005 ,  0.016 ,  38.777
1mje , A , 4 , 600 ,  0.038 ,  0.016 ,  40.242
2p3y , A , 4 , 447 ,  0.152 ,  0.040 ,  26.062
3osn , A , 4 , 385 ,  0.132 ,  0.032 ,  24.307
1p7t , B , 4 , 703 ,  0.169 ,  0.046 ,  33.411
3owa , A , 4 , 582 ,  0.175 ,  0.048 ,  24.711
2is6 , B , 4 , 652 ,  0.069 ,  0.039 ,  28.222
1ofd , A , 4 , 1491 ,  0.146 ,  0.051 ,  35.210
1q2l , A , 4 , 937 ,  0.032 ,  0.028 ,  34.478
2r6g , F , 4 , 490 ,  0.078 ,  0.014 ,  35.824
1wvf , A , 4 , 539 ,  0.160 ,  0.050 ,  23.323
1x9n , A , 4 , 626 ,  0.073 ,  0.035 ,  28.091
1ecl , A , 4 , 552 ,  0.082 ,  0.026 ,  30.378
2uzy , B , 4 , 630 ,  0.057 ,  0.023 ,  33.390
3clq , A , 4 , 400 ,  0.253 ,  0.055 ,  23.001
1t5h , X , 4 , 488 ,  0.145 ,  0.042 ,  25.452
3ju4 , A , 4 , 716 ,  0.013 ,  0.026 ,  33.546
1ggt , A , 4 , 710 ,  0.187 ,  0.034 ,  32.462
1ord , A , 4 , 730 ,  0.123 ,  0.036 ,  40.273
2fo0 , A , 4 , 465 ,  0.090 ,  0.038 ,  24.606
2ahx , A , 4 , 611 ,  0.088 ,  0.016 ,  41.621
1g8l , A , 4 , 403 ,  0.060 ,  0.018 ,  30.978
1g5a , A , 4 , 628 ,  0.166 ,  0.047 ,  26.356
2hau , A , 4 , 667 ,  0.094 ,  0.031 ,  30.168
2hyv , A , 4 , 308 ,  0.234 ,  0.038 ,  23.232
2eat , A , 4 , 994 ,  0.065 ,  0.022 ,  39.286
3dlk , B , 4 , 409 ,  0.144 ,  0.031 ,  25.714
2wvx , A , 4 , 711 ,  0.134 ,  0.046 ,  28.265
3n3r , A , 4 , 717 ,  0.092 ,  0.039 ,  28.679
3hu3 , A , 4 , 453 ,  0.095 ,  0.031 ,  26.298
2ioq , A , 4 , 567 ,  0.051 ,  0.019 ,  33.932
2fmp , A , 4 , 338 ,  0.124 ,  0.037 ,  22.067
2qts , A , 4 , 417 ,  0.065 ,  0.019 ,  34.558
1k4t , A , 4 , 564 ,  0.034 ,  0.025 ,  30.238
2gy5 , A , 4 , 423 ,  0.227 ,  0.041 ,  27.176
1zjk , A , 4 , 390 ,  0.044 ,  0.018 ,  31.154
1nyr , A , 4 , 642 ,  0.016 ,  0.027 ,  31.428
2x8g , A , 4 , 588 ,  0.112 ,  0.034 ,  28.280
2wvy , A , 4 , 741 ,  0.120 ,  0.046 ,  27.176
1ijj , B , 4 , 371 ,  0.154 ,  0.044 ,  24.307
1sqg , A , 4 , 424 ,  0.111 ,  0.040 ,  23.280
1iq8 , A , 4 , 577 ,  0.102 ,  0.038 ,  28.101
