PDB, Chain, Domains, Length, Interaction Energy, Desnity, Radius Of Gyration
1ppn , A , 1 , 212 ,  0.231 ,  0.061 ,  16.399
1pgx , A , 1 , 70 ,  0.386 ,  0.034 ,  15.608
1sbt , A , 1 , 275 ,  0.284 ,  0.070 ,  17.447
2hmq , A , 1 , 114 ,  0.395 ,  0.053 ,  13.658
5cna , A , 1 , 237 ,  0.304 ,  0.057 ,  20.053
1lap , A , 2 , 481 ,  0.100 ,  0.044 ,  41.186
1gpd , G , 2 , 333 ,  0.153 ,  0.048 ,  20.579
1vsg , A , 2 , 362 ,  0.069 ,  0.015 ,  33.413
6abp , A , 2 , 305 ,  0.154 ,  0.045 ,  21.622
3pgk , A , 2 , 415 ,  0.092 ,  0.035 ,  24.328
