1m70 , B , 2 , 190 ,  7.848 ,  0.051 ,  17.398
2hcz , X , 2 , 241 ,  5.927 ,  0.045 ,  19.068
3ku5 , A , 2 , 333 ,  1.543 ,  0.020 ,  29.173
2q8m , A , 2 , 304 ,  9.786 ,  0.050 ,  22.645
1s9r , A , 2 , 409 ,  8.188 ,  0.054 ,  21.752
3bp1 , B , 2 , 272 ,  6.452 ,  0.045 ,  21.562
1px5 , B , 2 , 339 ,  5.120 ,  0.044 ,  21.398
1wte , A , 2 , 272 ,  3.624 ,  0.028 ,  23.135
3bq9 , A , 2 , 479 ,  6.461 ,  0.055 ,  22.670
2nz8 , B , 2 , 279 ,  2.240 ,  0.029 ,  23.308
1zq7 , B , 2 , 200 ,  5.982 ,  0.042 ,  19.762
2a6h , A , 2 , 229 ,  4.614 ,  0.025 ,  27.125
2ahr , A , 2 , 250 ,  2.842 ,  0.031 ,  23.835
1rhs , A , 2 , 292 ,  4.849 ,  0.053 ,  19.792
3ca8 , B , 2 , 263 ,  6.593 ,  0.051 ,  21.075
3rjz , A , 2 , 206 ,  7.713 ,  0.047 ,  18.806
3h4e , E , 2 , 207 ,  3.851 ,  0.024 ,  22.658
2ijr , A , 2 , 276 ,  2.275 ,  0.033 ,  26.031
1rkq , B , 2 , 271 ,  5.904 ,  0.055 ,  19.547
3nt1 , B , 2 , 552 ,  6.122 ,  0.047 ,  25.243
1lc0 , A , 2 , 290 ,  6.273 ,  0.043 ,  21.037
1cy9 , A , 2 , 245 ,  3.583 ,  0.021 ,  23.982
1ois , A , 2 , 220 ,  3.444 ,  0.029 ,  32.919
1qgi , A , 2 , 259 ,  3.858 ,  0.049 ,  19.017
1bxo , A , 2 , 326 ,  8.327 ,  0.050 ,  32.775
3bl4 , B , 2 , 111 ,  3.552 ,  0.022 ,  18.006
1zym , B , 2 , 248 ,  4.830 ,  0.035 ,  24.996
1vzy , B , 2 , 286 ,  1.868 ,  0.042 ,  21.783
1q5v , B , 2 , 116 ,  2.410 ,  0.023 ,  18.272
3kjd , A , 2 , 350 ,  5.115 ,  0.046 ,  21.669
1u94 , A , 2 , 306 ,  13.896 ,  0.043 ,  22.625
2a5w , A , 2 , 114 ,  6.938 ,  0.060 ,  15.718
2evr , A , 2 , 240 ,  3.884 ,  0.050 ,  18.590
2cfi , A , 2 , 315 ,  3.681 ,  0.037 ,  21.994
