PDB ,  Chain ,  Domains ,  Length ,  No. of buried residues ,  Pairwise intersection with k=1 ,  k=2 ,  k=3 ,  k=4
1m70 , A , 2 , 190 ,  35 ,  0 ,  0 ,  5 ,  18

1wur , A , 2 , 185 ,  54 ,  0 ,  1 ,  8 ,  33

2ahr , C , 2 , 249 ,  108 ,  0 ,  0 ,  9 ,  29

1orb , A , 2 , 293 ,  103 ,  0 ,  6 ,  30 ,  45

3rk1 , B , 2 , 218 ,  66 ,  0 ,  4 ,  20 ,  36

3h47 , A , 2 , 203 ,  45 ,  0 ,  0 ,  8 ,  25

3ka2 , A , 2 , 200 ,  58 ,  0 ,  2 ,  17 ,  33

3bl4 , A , 2 , 119 ,  27 ,  0 ,  0 ,  6 ,  15

2hza , A , 2 , 129 ,  32 ,  0 ,  0 ,  10 ,  30

1qs2 , A , 2 , 401 ,  127 ,  0 ,  0 ,  2 ,  8

1sau , A , 2 , 123 ,  35 ,  0 ,  16 ,  39 ,  79

2hbw , A , 2 , 251 ,  64 ,  0 ,  5 ,  23 ,  49

2bw0 , A , 2 , 309 ,  105 ,  0 ,  0 ,  6 ,  35

2trc , P , 2 , 212 ,  52 ,  0 ,  0 ,  14 ,  19

1a79 , A , 2 , 171 ,  63 ,  0 ,  1 ,  21 ,  42

1ybi , A , 2 , 284 ,  86 ,  0 ,  0 ,  26 ,  47

3edp , A , 2 , 219 ,  61 ,  0 ,  0 ,  5 ,  20

3rf3 , B , 2 , 258 ,  76 ,  0 ,  0 ,  1 ,  7

1c0m , A , 2 , 221 ,  69 ,  0 ,  0 ,  11 ,  33

1ncf , A , 2 , 140 ,  18 ,  0 ,  0 ,  0 ,  4

2qj2 , A , 2 , 179 ,  51 ,  0 ,  0 ,  16 ,  37

2i5v , O , 2 , 259 ,  43 ,  0 ,  0 ,  3 ,  5

1fpo , A , 2 , 171 ,  33 ,  0 ,  0 ,  2 ,  6

1lbu , A , 2 , 214 ,  65 ,  0 ,  10 ,  21 ,  39

1gkg , A , 2 , 136 ,  6 ,  0 ,  7 ,  0 ,  11

1vfg , A , 2 , 342 ,  94 ,  0 ,  0 ,  1 ,  13

2r6i , A , 2 , 263 ,  76 ,  0 ,  0 ,  9 ,  23

1a6q , A , 2 , 363 ,  118 ,  0 ,  1 ,  5 ,  15

1tua , A , 2 , 189 ,  47 ,  0 ,  0 ,  8 ,  22

1hv9 , A , 2 , 449 ,  141 ,  0 ,  0 ,  0 ,  7

1p42 , A , 2 , 273 ,  96 ,  0 ,  14 ,  28 ,  39

2wxu , A , 2 , 361 ,  136 ,  0 ,  1 ,  14 ,  28

1rqu , A , 2 , 120 ,  11 ,  0 ,  0 ,  0 ,  1

2ra9 , A , 2 , 129 ,  27 ,  0 ,  5 ,  25 ,  41

1vl2 , D , 2 , 389 ,  166 ,  0 ,  0 ,  0 ,  5

1u4g , A , 2 , 298 ,  122 ,  0 ,  5 ,  27 ,  54

1xr4 , A , 2 , 494 ,  223 ,  0 ,  0 ,  0 ,  6

1b8f , A , 2 , 506 ,  195 ,  0 ,  0 ,  11 ,  19

1feu , A , 2 , 185 ,  36 ,  0 ,  0 ,  3 ,  18

3md2 , A , 2 , 142 ,  48 ,  0 ,  16 ,  38 ,  86

1jaj , A , 2 , 174 ,  45 ,  0 ,  2 ,  14 ,  42

1x9y , A , 2 , 346 ,  136 ,  0 ,  2 ,  15 ,  37

1ctu , A , 2 , 294 ,  109 ,  0 ,  7 ,  26 ,  44

1wlf , A , 2 , 164 ,  42 ,  0 ,  8 ,  21 ,  48

3bt3 , A , 2 , 129 ,  40 ,  0 ,  7 ,  18 ,  42

1g38 , A , 2 , 393 ,  136 ,  0 ,  0 ,  4 ,  20

1now , A , 2 , 480 ,  206 ,  0 ,  0 ,  4 ,  17

1ual , A , 2 , 243 ,  52 ,  0 ,  0 ,  16 ,  17

2arz , A , 2 , 239 ,  75 ,  0 ,  2 ,  14 ,  32

2qik , A , 2 , 273 ,  84 ,  0 ,  1 ,  15 ,  36

1kb0 , A , 2 , 675 ,  311 ,  0 ,  0 ,  0 ,  9

1po3 , A , 2 , 647 ,  201 ,  0 ,  0 ,  1 ,  1

2ibd , A , 2 , 200 ,  59 ,  0 ,  0 ,  17 ,  30

2r01 , A , 2 , 201 ,  39 ,  0 ,  2 ,  22 ,  41

2nnu , A , 2 , 201 ,  44 ,  0 ,  0 ,  6 ,  12

2fcw , B , 2 , 78 ,  9 ,  0 ,  0 ,  6 ,  8

1jhd , A , 2 , 396 ,  139 ,  0 ,  0 ,  9 ,  14

2bgh , A , 2 , 413 ,  150 ,  0 ,  0 ,  5 ,  17

1n6c , A , 2 , 283 ,  72 ,  0 ,  0 ,  15 ,  17

2elc , A , 2 , 329 ,  137 ,  0 ,  3 ,  16 ,  43

1qo6 , A , 2 , 101 ,  10 ,  0 ,  0 ,  4 ,  11

1sj8 , A , 2 , 297 ,  90 ,  0 ,  0 ,  6 ,  18

3kjd , B , 2 , 353 ,  110 ,  0 ,  0 ,  4 ,  17

1lqs , L , 2 , 142 ,  50 ,  0 ,  0 ,  6 ,  12

2z6r , A , 2 , 264 ,  104 ,  0 ,  0 ,  18 ,  40

1skz , A , 2 , 104 ,  8 ,  0 ,  4 ,  6 ,  8

1knx , B , 2 , 304 ,  122 ,  0 ,  0 ,  2 ,  20

3dpo , A , 2 , 223 ,  48 ,  0 ,  0 ,  6 ,  16

2fef , A , 2 , 283 ,  95 ,  0 ,  5 ,  15 ,  27

1wku , B , 2 , 227 ,  70 ,  0 ,  1 ,  20 ,  45

1j5y , A , 2 , 167 ,  40 ,  0 ,  1 ,  12 ,  26

1ng6 , A , 2 , 148 ,  28 ,  0 ,  2 ,  7 ,  18

1lck , A , 2 , 164 ,  44 ,  0 ,  0 ,  12 ,  46

1div , A , 2 , 149 ,  23 ,  0 ,  0 ,  6 ,  8

1nij , A , 2 , 317 ,  112 ,  0 ,  2 ,  7 ,  34

1ush , A , 2 , 515 ,  189 ,  0 ,  0 ,  12 ,  25

1ev7 , A , 2 , 295 ,  92 ,  0 ,  0 ,  8 ,  20

2o62 , A , 2 , 275 ,  73 ,  0 ,  8 ,  11 ,  22

1h4a , X , 2 , 174 ,  49 ,  0 ,  2 ,  25 ,  56

2ra8 , A , 2 , 339 ,  111 ,  0 ,  0 ,  1 ,  18

3c9u , A , 2 , 308 ,  128 ,  0 ,  6 ,  10 ,  16

3q8g , A , 2 , 310 ,  74 ,  0 ,  1 ,  7 ,  14

2oux , A , 2 , 246 ,  77 ,  0 ,  0 ,  8 ,  11

2qbw , A , 2 , 191 ,  47 ,  0 ,  0 ,  12 ,  29

2fj8 , A , 2 , 120 ,  19 ,  0 ,  1 ,  6 ,  16

2v3z , A , 2 , 465 ,  168 ,  0 ,  0 ,  9 ,  17

3eam , A , 2 , 311 ,  110 ,  0 ,  0 ,  0 ,  9

1nty , A , 2 , 320 ,  0 ,  0 ,  0 ,  0 ,  0

1on2 , A , 2 , 135 ,  40 ,  0 ,  0 ,  13 ,  29

1sei , A , 2 , 130 ,  33 ,  0 ,  9 ,  27 ,  45

1i7o , A , 2 , 421 ,  161 ,  0 ,  0 ,  8 ,  27

3bwh , A , 2 , 244 ,  88 ,  0 ,  6 ,  18 ,  48

1vme , B , 2 , 404 ,  170 ,  0 ,  0 ,  14 ,  32

1yua , A , 2 , 122 ,  26 ,  0 ,  1 ,  16 ,  41

1wpb , O , 2 , 168 ,  32 ,  0 ,  0 ,  8 ,  13

3ci0 , J , 2 , 146 ,  51 ,  0 ,  11 ,  31 ,  46

1mow , G , 2 , 233 ,  0 ,  0 ,  10 ,  30 ,  60

1whe , A , 2 , 73 ,  6 ,  0 ,  0 ,  2 ,  4

1p5q , A , 2 , 281 ,  70 ,  0 ,  0 ,  0 ,  6

2vqe , M , 2 , 125 ,  21 ,  0 ,  0 ,  0 ,  45

3e00 , A , 2 , 289 ,  95 ,  0 ,  0 ,  5 ,  23

1txg , A , 2 , 335 ,  153 ,  0 ,  0 ,  12 ,  46

1js8 , A , 2 , 382 ,  0 ,  0 ,  0 ,  0 ,  0

1k82 , B , 2 , 260 ,  81 ,  0 ,  0 ,  18 ,  43

1lko , A , 2 , 191 ,  42 ,  0 ,  0 ,  6 ,  23

2h88 , B , 2 , 239 ,  99 ,  0 ,  0 ,  11 ,  35

1g1t , A , 2 , 157 ,  37 ,  0 ,  0 ,  23 ,  55

1fjr , A , 2 , 188 ,  47 ,  0 ,  3 ,  22 ,  41

1hdh , A , 2 , 524 ,  230 ,  0 ,  8 ,  8 ,  10

2r9q , A , 2 , 327 ,  117 ,  0 ,  2 ,  4 ,  21

1evl , A , 2 , 401 ,  160 ,  0 ,  0 ,  7 ,  10

1su3 , A , 2 , 415 ,  136 ,  0 ,  0 ,  6 ,  16

1y7m , A , 2 , 161 ,  48 ,  0 ,  5 ,  21 ,  45

3b4n , A , 2 , 316 ,  113 ,  0 ,  7 ,  16 ,  46

2jz4 , A , 2 , 299 ,  40 ,  0 ,  0 ,  4 ,  10

1af7 , A , 2 , 274 ,  89 ,  0 ,  0 ,  9 ,  30

1ccw , B , 2 , 483 ,  249 ,  0 ,  3 ,  14 ,  21

1dw9 , A , 2 , 152 ,  67 ,  0 ,  0 ,  3 ,  21

2ehz , A , 2 , 299 ,  108 ,  0 ,  7 ,  23 ,  37

1yz9 , A , 2 , 220 ,  66 ,  0 ,  0 ,  7 ,  13

1vcb , C , 2 , 142 ,  38 ,  0 ,  1 ,  14 ,  31

2a06 , B , 2 , 423 ,  174 ,  0 ,  0 ,  6 ,  21

1xta , B , 2 , 219 ,  66 ,  0 ,  10 ,  12 ,  27

2v2g , D , 2 , 219 ,  89 ,  0 ,  0 ,  17 ,  45

2d1c , A , 2 , 495 ,  232 ,  0 ,  0 ,  4 ,  15

2phc , B , 2 , 216 ,  56 ,  0 ,  0 ,  16 ,  30

1j5q , A , 2 , 413 ,  138 ,  0 ,  0 ,  2 ,  9

1w3f , A , 2 , 312 ,  74 ,  0 ,  0 ,  0 ,  5

1qd1 , A , 2 , 329 ,  115 ,  0 ,  0 ,  20 ,  33

1u8b , A , 2 , 128 ,  21 ,  0 ,  0 ,  10 ,  19

